Territorio,Año,Área geográfica,Sexo,Edad,Población
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,34,72451
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,35,72437
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,36,71975
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,37,71295
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,38,70220
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,39,68272
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,40,66627
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,41,64682
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,42,63115
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,43,61613
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,44,60795
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,45,60154
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,46,59619
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,47,59283
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,48,58843
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,49,57798
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,50,57079
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,51,55999
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,52,55118
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,53,53930
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,54,52803
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,55,51405
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,56,49795
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,57,48189
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,58,46574
