Codigo_DIVIPOLA|Departamento|Sector|Tipo_registro|Año|Estado_dato|Valor_miles_millones_COP|Unidad|Fuente
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2005|Definitivo|776.543438519674|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2006|Definitivo|804.151958637813|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2007|Definitivo|868.22432843551|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2008|Definitivo|998.547773947701|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2009|Definitivo|1042.41283815797|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2010|Definitivo|926.644315276756|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2011|Definitivo|921.484673615189|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2012|Definitivo|968.587742709015|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2013|Definitivo|977.445009556672|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2014|Definitivo|1015.89700190695|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2015|Definitivo|1196.23216652394|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2016|Definitivo|1370.42811681574|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2017|Definitivo|1389.63985157642|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2018|Definitivo|1487.64846244604|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2019|Definitivo|1590.74200275364|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2020|Definitivo|1806.1218604272|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2021|Definitivo|2203.53061092795|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2022|Definitivo|3113.71514610441|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2023|Definitivo|3383.35732470722|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2024|Provisional|3879.51725993323|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
13|Bolívar|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2025|Preliminar|4383.81380126154|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
15|Boyacá|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2005|Definitivo|1010.27468083549|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
15|Boyacá|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2006|Definitivo|1075.96303044509|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
15|Boyacá|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2007|Definitivo|1187.8419258711|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
15|Boyacá|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2008|Definitivo|1358.5736789175|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
15|Boyacá|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2009|Definitivo|1451.58081240976|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
